Date,Revenue,Order,Quantity,DayOfWeek,Month,Year
2011-07-22,14633.77,37,8333,Friday,7,2011
2011-07-24,26796.920000000002,57,17578,Sunday,7,2011
2011-07-25,19687.31,53,14276,Monday,7,2011
2011-07-26,17293.001,46,12643,Tuesday,7,2011
2011-07-27,20623.32,44,12756,Wednesday,7,2011
2011-07-28,39094.69,78,26559,Thursday,7,2011
2011-07-29,17240.61,62,11219,Friday,7,2011
2011-07-31,26844.09,41,19271,Sunday,7,2011
2011-08-01,19808.4,39,11308,Monday,8,2011
2011-08-02,19027.05,41,13226,Tuesday,8,2011
2011-08-03,26617.77,62,16147,Wednesday,8,2011
2011-08-04,51621.97,79,34033,Thursday,8,2011
2011-08-05,19825.4,52,12230,Friday,8,2011
2011-08-07,7576.96,29,5185,Sunday,8,2011
2011-08-08,19758.62,38,12442,Monday,8,2011
2011-08-09,25057.12,40,15584,Tuesday,8,2011
2011-08-10,19861.56,43,12333,Wednesday,8,2011
2011-08-11,50482.57,63,35501,Thursday,8,2011
2011-08-12,17970.170000000002,46,11049,Friday,8,2011
2011-08-14,5718.57,25,3180,Sunday,8,2011
2011-08-15,17243.97,48,10181,Monday,8,2011
2011-08-16,16077.84,50,10474,Tuesday,8,2011
2011-08-17,37616.26,51,21520,Wednesday,8,2011
2011-08-18,51783.81,67,33641,Thursday,8,2011
2011-08-19,17339.59,55,10671,Friday,8,2011
2011-08-21,14566.84,38,8163,Sunday,8,2011
2011-08-22,25891.18,62,14341,Monday,8,2011
2011-08-23,22399.11,60,13707,Tuesday,8,2011
2011-08-24,37291.01,72,27157,Wednesday,8,2011
2011-08-25,22495.29,72,13175,Thursday,8,2011
2011-08-26,23113.24,43,16308,Friday,8,2011
2011-08-28,10805.03,37,6774,Sunday,8,2011
2011-08-30,8833.710000000001,23,4215,Tuesday,8,2011
2011-08-31,20540.84,42,11547,Wednesday,8,2011
2011-09-01,37370.15,76,27857,Thursday,9,2011
2011-09-02,26612.09,64,13877,Friday,9,2011
2011-09-04,17005.03,49,10905,Sunday,9,2011
2011-09-05,34810.7,67,21937,Monday,9,2011
2011-09-06,25495.82,61,14471,Tuesday,9,2011
2011-09-07,21967.420000000002,46,13731,Wednesday,9,2011
2011-09-08,23188.3,72,16041,Thursday,9,2011
2011-09-09,25142.15,58,16036,Friday,9,2011
2011-09-11,35511.67,75,21146,Sunday,9,2011
2011-09-12,27989.4,67,16438,Monday,9,2011
2011-09-13,48162.25,63,35029,Tuesday,9,2011
2011-09-14,22027.95,65,13438,Wednesday,9,2011
2011-09-15,43854.57,77,21965,Thursday,9,2011
2011-09-16,23248.98,46,14126,Friday,9,2011
2011-09-18,15745.73,27,8994,Sunday,9,2011
2011-09-19,45087.42,68,27472,Monday,9,2011
2011-09-20,40861.91,63,20444,Tuesday,9,2011
2011-09-21,37624.51,67,19632,Wednesday,9,2011
2011-09-22,57869.36,111,32816,Thursday,9,2011
2011-09-23,31781.100000000002,58,19800,Friday,9,2011
2011-09-25,31372.661,75,19504,Sunday,9,2011
2011-09-26,29329.841,65,15312,Monday,9,2011
2011-09-27,29274.36,75,19533,Tuesday,9,2011
2011-09-28,36767.89,80,23555,Wednesday,9,2011
2011-09-29,44729.37,103,26974,Thursday,9,2011
2011-09-30,36265.44,68,20064,Friday,9,2011
2011-10-02,11582.95,34,8375,Sunday,10,2011
2011-10-03,54053.0,62,23895,Monday,10,2011
2011-10-04,35497.2,74,20978,Tuesday,10,2011
2011-10-05,64121.43,94,44188,Wednesday,10,2011
2011-10-06,53076.4,116,30407,Thursday,10,2011
2011-10-07,40788.15,85,24218,Friday,10,2011
2011-10-09,12466.81,38,7534,Sunday,10,2011
2011-10-10,41700.32,90,24814,Monday,10,2011
2011-10-11,41067.01,78,23189,Tuesday,10,2011
2011-10-12,27731.37,82,16198,Wednesday,10,2011
2011-10-13,33039.18,74,17897,Thursday,10,2011
2011-10-14,32124.68,70,17215,Friday,10,2011
2011-10-16,22010.96,35,8770,Sunday,10,2011
2011-10-17,47005.24,85,30141,Monday,10,2011
2011-10-18,37302.4,77,26900,Tuesday,10,2011
2011-10-19,31265.46,76,18264,Wednesday,10,2011
2011-10-20,59819.9,85,39169,Thursday,10,2011
2011-10-21,38211.26,61,22304,Friday,10,2011
2011-10-23,12339.16,42,7073,Sunday,10,2011
2011-10-24,35887.840000000004,72,22633,Monday,10,2011
2011-10-25,33523.95,72,24944,Tuesday,10,2011
2011-10-26,30710.52,91,18769,Wednesday,10,2011
2011-10-27,41515.020000000004,101,25355,Thursday,10,2011
2011-10-28,34223.85,64,20120,Friday,10,2011
2011-10-30,34571.23,96,20068,Sunday,10,2011
2011-10-31,32146.99,63,15170,Monday,10,2011
2011-11-01,29132.81,76,16577,Tuesday,11,2011
2011-11-02,37774.7,82,23671,Wednesday,11,2011
2011-11-03,45865.61,98,27170,Thursday,11,2011
2011-11-04,54605.24,86,33248,Friday,11,2011
2011-11-06,42941.340000000004,101,23305,Sunday,11,2011
2011-11-07,28779.24,90,16439,Monday,11,2011
2011-11-08,38295.12,99,21670,Tuesday,11,2011
2011-11-09,57203.98,118,35122,Wednesday,11,2011
2011-11-10,67815.13,124,37067,Thursday,11,2011
2011-11-11,37081.37,93,23939,Friday,11,2011
2011-11-13,28607.78,83,19764,Sunday,11,2011
2011-11-14,56253.35,104,31846,Monday,11,2011
2011-11-15,44627.48,104,25470,Tuesday,11,2011
2011-11-16,48439.76,124,29156,Wednesday,11,2011
2011-11-17,54760.3,136,30090,Thursday,11,2011
2011-11-18,36751.25,103,20299,Friday,11,2011
2011-11-20,30190.920000000002,98,18765,Sunday,11,2011
2011-11-21,45333.13,96,24567,Monday,11,2011
2011-11-22,46388.89,129,30635,Tuesday,11,2011
2011-11-23,68279.87,130,37763,Wednesday,11,2011
2011-11-24,38579.11,109,22923,Thursday,11,2011
2011-11-25,25047.46,73,13736,Friday,11,2011
2011-11-27,17300.96,56,10537,Sunday,11,2011
2011-11-28,46714.91,114,26703,Monday,11,2011
2011-11-29,43356.58,124,23087,Tuesday,11,2011
2011-11-30,41481.23,99,24454,Wednesday,11,2011
2011-12-01,44533.99,118,24857,Thursday,12,2011
2011-12-02,40841.49,112,23011,Friday,12,2011
2011-12-04,20375.96,62,11435,Sunday,12,2011
2011-12-05,55647.45,116,37937,Monday,12,2011
2011-12-06,43842.44,110,27459,Tuesday,12,2011
2011-12-07,51918.71,100,34408,Wednesday,12,2011
2011-12-08,39896.75,112,23745,Thursday,12,2011
2011-12-09,15879.68,40,9587,Friday,12,2011
