StockCode,Description,TotalQuaantity,AvgQuantity,TotalRevenue,AvgRevenue,OrderCount
20727,LUNCH BAG  BLACK SKULL.,11291,10.22,18024.55,16.31,1052
20728,LUNCH BAG CARS BLUE,10820,10.94,17265.68,17.46,966
20731,POSY CANDY BAG,74,9.25,92.5,11.56,8
20733,GOLD MINI TAPE MEASURE ,918,18.73,688.9,14.06,46
20735,BLACK MINI TAPE MEASURE ,158,5.27,121.3,4.04,30
20748,KENSINGTON COFFEE SET,53,1.77,675.75,22.52,30
20749,ASSORTED COLOUR MINI CASES,1515,4.13,10828.01,29.5,364
20750,RED RETROSPOT MINI CASES,1712,4.66,12216.8,33.29,365
20751,FUNKY WASHING UP GLOVES ASSORTED,973,4.94,1984.26,10.07,171
20752,BLUE POLKADOT WASHING UP GLOVES,367,3.14,770.7,6.59,115
20754,RETROSPOT RED WASHING UP GLOVES,1356,5.58,2670.48,10.99,239
20755,BLUE PAISLEY POCKET BOOK,292,5.73,248.2,4.87,50
20756,GREEN FERN POCKET BOOK,63,2.86,53.55,2.43,22
20757,RED DAISY POCKET BOOK ,164,4.97,140.18,4.25,30
20758,ABSTRACT CIRCLES POCKET BOOK,161,3.66,136.85,3.11,41
20759,CHRYSANTHEMUM POCKET BOOK ,64,3.2,54.4,2.72,20
20760,GARDEN PATH POCKET BOOK,69,3.14,58.65,2.67,21
20761,BLUE PAISLEY SKETCHBOOK,110,2.0,419.92,7.63,52
20762,GREEN FERN SKETCHBOOK ,101,1.98,382.46,7.5,51
20763,DAISY SKETCHBOOK ,71,2.84,189.96,7.6,25
20764,ABSTRACT CIRCLES SKETCHBOOK ,128,2.06,491.13,7.92,60
20765,CHRYSANTHEMUM SKETCHBOOK ,96,1.81,374.84,7.07,51
20766,GARDEN PATH SKETCHBOOK,113,2.26,422.08,8.44,47
20767,BLUE PAISLEY JOURNAL ,217,3.56,541.97,8.88,58
20768,GREEN FERN JOURNAL ,131,3.54,320.26,8.66,36
20769,DAISY JOURNAL ,66,2.54,173.12,6.66,26
20770,ABSTRACT CIRCLE JOURNAL ,108,3.72,259.2,8.94,28
20771,CHRYSANTHEMUM  JOURNAL,71,2.54,183.46,6.55,27
20772,GARDEN PATH JOURNAL,218,4.74,534.46,11.62,46
20773,BLUE PAISLEY NOTEBOOK,56,2.33,92.4,3.85,23
20774,GREEN FERN NOTEBOOK,52,2.26,85.8,3.73,22
20775,DAISY NOTEBOOK ,64,2.91,105.6,4.8,20
20777,CHRYSANTHEMUM NOTEBOOK,95,2.64,156.75,4.35,36
20778,GARDEN PATH NOTEBOOK ,15,1.88,24.75,3.09,8
20780,BLACK EAR MUFF HEADPHONES,37,1.95,198.35,10.44,17
20781,GOLD EAR MUFF HEADPHONES,32,1.39,161.52,7.02,20
20782,CAMOUFLAGE EAR MUFF HEADPHONES,40,2.22,221.36,12.3,17
20785,FUSCHIA RETRO BAR STOOL,14,2.8,523.3,104.66,5
20793,BLUE TILED TRAY,8,2.0,54.0,13.5,4
20794,BLUE  TILE HOOK,85,5.31,213.15,13.32,15
20795,LARGE BLUE PROVENCAL CERAMIC BALL,44,5.5,92.4,11.55,8
20796,SMALL BLUE PROVENCAL CERAMIC BALL,61,7.62,100.65,12.58,8
20798,CLEAR MILKSHAKE GLASS,36,7.2,75.6,15.12,5
20801,LARGE PINK GLASS SUNDAE DISH,848,15.42,708.16,12.88,54
20802,SMALL GLASS SUNDAE DISH CLEAR,648,14.73,730.44,16.6,44
20803,SMALL PINK GLASS SUNDAE DISH,917,28.66,386.25,12.07,31
20816,GOLD FLOWER CUSHION COVER ,8,4.0,15.6,7.8,2
20818,GOLD TEDDY BEAR,12,6.0,20.0,10.0,2
20819,SILVER TEDDY BEAR,48,3.0,183.71,11.48,16
20820,SILVER LOOKING MIRROR,5,2.5,24.75,12.38,2
20821,GOLDIE LOOKING MIRROR,16,3.2,79.2,15.84,5
20823,GOLD WINE GOBLET,164,20.5,129.56,16.2,7
20826,SILVER APERITIF GLASS,276,34.5,128.4,16.05,8
20827,GOLD APERITIF GLASS,88,44.0,34.32,17.16,2
20828,GLITTER BUTTERFLY CLIPS,1012,5.44,2494.2,13.41,177
20829,GLITTER HANGING BUTTERFLY STRING,1265,7.49,2530.49,14.97,163
20830,SILVER PHOTO FRAME,75,3.75,157.5,7.88,20
20831,GOLD PHOTO FRAME,169,7.04,272.34,11.35,24
20832,RED FLOCK LOVE HEART PHOTO FRAME,1034,18.14,527.04,9.25,55
20835,FRENCH LATTICE CUSHION COVER ,66,9.43,54.78,7.83,7
20836,FRENCH PAISLEY CUSHION COVER,170,10.0,141.1,8.3,17
20837,FRENCH FLORAL CUSHION COVER ,141,9.4,142.47,9.5,15
20838,FRENCH LATTICE CUSHION COVER ,330,10.0,282.94,8.57,33
20839,FRENCH PAISLEY CUSHION COVER ,452,9.22,411.84,8.4,49
20840,FRENCH FLORAL CUSHION COVER ,464,10.55,399.28,9.07,43
20845,ZINC HEART LATTICE 2 WALL PLANTER,19,1.73,120.65,10.97,11
20846,ZINC HEART LATTICE T-LIGHT HOLDER,647,10.11,785.47,12.27,62
20847,ZINC HEART LATTICE CHARGER LARGE,46,3.29,172.5,12.32,14
20848,ZINC HEART LATTICE CHARGER SMALL,21,2.62,61.95,7.74,8
20851,ZINC HEART LATTICE TRAY OVAL ,9,1.29,53.55,7.65,7
20854,BLUE PATCH PURSE PINK HEART,166,9.22,256.1,14.23,17
20856,DENIM PATCH PURSE PINK BUTTERFLY,140,5.19,231.0,8.56,27
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,32,4.0,52.8,6.6,8
20861,GOLD COSMETIC BAG PINK STAR,2,1.0,4.2,2.1,2
20866,BLUE ROSE FABRIC MIRROR,409,10.76,488.59,12.86,37
20867,PINK ROSE FABRIC MIRROR,187,7.48,231.47,9.26,25
20868,SILVER FABRIC MIRROR,381,12.29,159.26,5.14,31
20869,GOLD FABRIC MIRROR,139,7.72,54.21,3.01,17
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,25,3.12,31.25,3.91,7
20886,BOX OF 9 PEBBLE CANDLES,453,5.73,853.35,10.8,77
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,1,1.0,12.75,12.75,1
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,259,12.95,569.1,28.46,19
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,25,2.78,73.75,8.19,9
20897,VINTAGE NOTEBOOK PARIS DAYS,85,10.62,230.35,28.79,8
20898,VINTAGE NOTEBOOK TRAVELOGUE,25,5.0,73.75,14.75,4
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,4,1.33,25.4,8.47,2
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,33,5.5,190.35,31.72,6
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,20,2.0,127.0,12.7,10
20906,VINTAGE NOTEBOOK BEAUTY GIRL,3,1.5,8.85,4.43,2
20910,VINTAGE PHOTO ALBUM PARIS DAYS,8,2.67,50.8,16.93,3
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,5850,7.47,16359.98,20.89,763
20931,BLUE POT PLANT CANDLE ,263,7.11,794.45,21.47,37
20932,PINK POT PLANT CANDLE,189,8.59,516.25,23.47,22
20933,YELLOW POT PLANT CANDLE,23,2.56,71.05,7.89,9
20934,SET/3 POT PLANT CANDLES,54,2.7,294.3,14.72,20
20935,ROUND CACTUS CANDLE,6,1.5,17.7,4.43,4
20936,FORKED CACTUS CANDLE,92,3.54,272.98,10.5,26
20941,FROG CANDLE,61,3.39,76.25,4.24,17
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,730,11.97,916.13,15.02,59
20961,STRAWBERRY BATH SPONGE ,1029,7.92,1305.61,10.04,127
20963,APPLE BATH SPONGE,1102,8.75,1400.49,11.12,122
20964,POLYESTER FILLER PAD 60x40cm,2,2.0,5.1,5.1,1
20966,SANDWICH BATH SPONGE,589,14.37,698.25,17.03,41
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,257,3.38,963.75,12.68,75
20969,RED FLORAL FELTCRAFT SHOULDER BAG,1588,6.16,5757.99,22.32,256
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,1081,4.66,3983.63,17.17,230
20971,PINK BLUE FELT CRAFT TRINKET BOX,6337,13.63,7508.11,16.15,454
20972,PINK CREAM FELT CRAFT TRINKET BOX ,7131,12.97,8648.49,15.72,535
20973,12 PENCIL SMALL TUBE WOODLAND,4007,13.77,2551.15,8.77,276
20974,12 PENCILS SMALL TUBE SKULL,6734,22.22,4235.1,13.98,291
20975,12 PENCILS SMALL TUBE RED RETROSPOT,6400,20.32,4101.2,13.02,307
20977,36 PENCILS TUBE WOODLAND,1597,11.01,1971.93,13.6,142
20978,36 PENCILS TUBE SKULLS,1631,8.82,2014.43,10.89,179
20979,36 PENCILS TUBE RED RETROSPOT,3523,15.06,4233.51,18.09,230
20980,36 PENCILS TUBE POSY,27,2.45,33.75,3.07,11
20981,12 PENCILS TALL TUBE WOODLAND,1851,8.77,1573.35,7.46,208
20982,12 PENCILS TALL TUBE SKULLS,2019,9.09,1709.91,7.7,215
20983,12 PENCILS TALL TUBE RED RETROSPOT,2652,10.61,2247.96,8.99,234
20984,12 PENCILS TALL TUBE POSY,3809,21.64,1169.01,6.64,167
20985,HEART CALCULATOR,1017,10.59,1160.88,12.09,87
20986,BLUE CALCULATOR RULER,462,7.33,546.76,8.68,58
20992,JAZZ HEARTS PURSE NOTEBOOK,4365,16.72,1867.05,7.15,244
20996,JAZZ HEARTS ADDRESS BOOK,3057,16.26,648.69,3.45,184
20997,ROSE DU SUD CUSHION COVER ,15,3.0,74.25,14.85,5
20998,ROSE DU SUD OVEN GLOVE,119,4.25,348.25,12.44,28
21000,ROSE DU SUD COSMETICS BAG,46,2.71,195.5,11.5,16
21001,ROSE DU SUD WASHBAG ,25,1.92,148.75,11.44,12
21002,ROSE DU SUD DRAWSTRING BAG,13,2.6,55.25,11.05,5
21003,ROSE DU SUD CUSHION COVER,13,2.17,82.55,13.76,6
21011,GLITTER SNOW PEAR TREE DECORATION,18,9.0,26.1,13.05,2
21012,ANTIQUE ALL GLASS CANDLESTICK,567,6.83,1133.3,13.65,80
21014,SWISS CHALET TREE DECORATION ,1233,17.61,455.57,6.51,66
21015,DARK BIRD HOUSE TREE DECORATION,1251,18.4,377.91,5.56,66
21018,BIRD BOX CHRISTMAS TREE DECORATION,22,4.4,18.7,3.74,4
21025,SPACE FROG,100,6.25,127.25,7.95,16
21026,SPACE OWL,143,5.72,177.37,7.09,22
21027,NINJA RABBIT PINK,101,5.32,122.45,6.44,17
21028,NINJA RABBIT BLACK,116,5.52,148.29,7.06,21
21030,SPACE CADET RED,121,5.26,153.67,6.68,21
21031,SPACE CADET BLACK,40,3.64,51.21,4.66,10
21032,SPACE CADET WHITE,65,4.06,84.88,5.3,15
21033,JUMBO BAG CHARLIE AND LOLA TOYS,922,8.46,1934.75,17.75,108
21034,REX CASH+CARRY JUMBO SHOPPER,1893,1.99,1798.35,1.89,859
21035,SET/2 RED RETROSPOT TEA TOWELS ,2319,10.31,6820.01,30.31,219
21038,SET/4 MODERN VINTAGE COTTON NAPKINS,77,3.35,86.75,3.77,23
21039,RED RETROSPOT SHOPPING BAG,510,6.62,1284.66,16.68,77
21040,MODERN VINTAGE COTTON SHOPPING BAG,22,2.75,29.7,3.71,8
21041,RED RETROSPOT OVEN GLOVE DOUBLE,576,3.95,1699.2,11.64,138
21042,RED RETROSPOT APRON ,303,2.78,1802.85,16.54,105
21043,APRON MODERN VINTAGE COTTON,443,7.64,931.85,16.07,57
21051,RIBBONS PURSE ,108,4.5,228.83,9.53,24
21054,NURSE'S BAG SOFT TOY,68,2.52,608.6,22.54,27
21055,TOOL BOX SOFT TOY ,146,1.74,1368.14,16.29,82
21056,DOCTOR'S BAG SOFT TOY,174,2.64,1640.18,24.85,66
21058,PARTY INVITES WOODLAND,1049,11.4,855.77,9.3,87
21059,PARTY INVITES DINOSAURS,573,7.44,487.05,6.33,77
21060,PARTY INVITES BALLOON GIRL,356,6.72,302.6,5.71,53
21061,PARTY INVITES FOOTBALL,412,7.92,350.2,6.73,52
21062,PARTY INVITES SPACEMAN,501,8.08,425.85,6.87,61
21063,PARTY INVITES JAZZ HEARTS,483,5.96,412.11,5.09,81
21064,BOOM BOX SPEAKER BOYS,176,2.93,760.5,12.68,54
21065,BOOM BOX SPEAKER GIRLS,487,11.07,839.05,19.07,40
21066,VINTAGE RED MUG,688,16.38,657.62,15.66,41
21067,VINTAGE RED TEATIME MUG,203,4.61,249.38,5.67,41
21068,VINTAGE BILLBOARD LOVE/HATE MUG,1535,12.18,1637.71,13.0,125
21069,VINTAGE BILLBOARD TEA MUG,1868,35.92,2049.05,39.4,51
21070,VINTAGE BILLBOARD MUG ,1033,13.08,1059.79,13.42,77
21071,VINTAGE BILLBOARD DRINK ME MUG,849,7.72,1025.98,9.33,107
21078,SET/20 STRAWBERRY PAPER NAPKINS ,2494,12.17,1982.08,9.67,201
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12313,16.35,9656.79,12.82,732
21084,SET/6 COLLAGE PAPER CUPS,2199,20.75,463.85,4.38,103
21086,SET/6 RED SPOTTY PAPER CUPS,6589,22.26,4009.49,13.55,285
21087,SET/6 POSIES PAPER CUPS,126,12.6,62.12,6.21,10
21088,SET/6 FRUIT SALAD PAPER CUPS,1576,21.3,345.42,4.67,74
21089,SET/6 GREEN SPRING PAPER CUPS,231,9.62,45.73,1.91,24
21090,SET/6 COLLAGE PAPER PLATES,1672,14.05,708.3,5.95,116
21094,SET/6 RED SPOTTY PAPER PLATES,7351,22.41,5496.53,16.76,325
21095,SET/6 POSIES PAPER PLATES,95,10.56,80.75,8.97,9
21096,SET/6 FRUIT SALAD  PAPER PLATES,1143,16.33,479.25,6.85,70
21098,CHRISTMAS TOILET ROLL,1976,10.8,2408.05,13.16,162
21100,CHARLIE AND LOLA CHARLOTTE BAG,43,5.38,70.95,8.87,8
21106,CREAM SLICE FLANNEL CHOCOLATE SPOT ,193,5.51,530.95,15.17,34
21107,CREAM SLICE FLANNEL PINK SPOT ,840,12.73,2218.8,33.62,62
